Latitude;Longitude;Meters;kmh
37.4806;126.4373;115;327
37.4926;126.4277;298;333
37.5041;126.4187;413;352
37.5174;126.4078;474;391
37.5421;126.3868;603;447
37.5658;126.3666;855;468
37.5782;126.3436;1045;478
37.5795;126.3038;1327;486
37.5797;126.2575;1686;494
37.5796;126.2234;1914;499
37.5729;126.1904;215;504
37.5627;126.1648;2371;504
37.5460;126.1212;2699;515
37.5290;126.0769;3004;525
37.5114;126.0308;3202;555
37.4912;125.9788;3431;587
37.4713;125.9278;3629;613
37.4498;125.8721;3805;637
37.4269;125.8127;4064;665
37.4160;125.7842;4193;671
37.4059;125.7401;4376;665
37.4032;125.6425;4613;673
37.4024;125.5793;5139;661
37.4015;125.5128;5299;686
37.4004;125.4403;5566;695
37.3995;125.3804;5795;698
37.3984;125.3132;6161;679
37.3972;125.2488;6519;671
37.3962;125.1879;6778;668
37.3952;125.1223;6976;678
37.3940;125.0563;7068;703
37.3927;124.9891;7183;726
37.3914;124.9205;7297;732
37.3897;124.8324;729;752
37.3875;124.7251;7305;766
37.3859;124.6498;7305;769
37.3838;124.5577;7305;766
37.3822;124.4851;7306;766
37.3779;124.4326;7298;769
37.3408;124.3386;7298;782
37.3000;124.2573;7306;774
37.2676;124.1929;7299;774
37.2313;124.1213;7307;776
37.1901;124.0436;7299;777
37.1549;123.9775;7307;776
37.1237;123.9170;7307;779
37.0932;123.8575;7422;785
37.0610;123.7951;7635;784
37.0288;123.7329;7811;790
36.9957;123.6691;791;798
36.9616;123.6035;7917;790
36.9282;123.5392;791;789
36.8718;123.4313;7918;787
36.8425;123.3513;7918;785
36.8435;123.3089;8002;779
36.8648;123.2166;8361;772
36.9028;123.0585;8412;772
36.9229;122.9753;8521;771
37.3079;121.7465;8502;782
37.3431;121.6087;8503;779
37.3621;121.5337;8495;779
37.3975;121.3943;8504;784
37.4152;121.3238;8496;782
37.4327;121.2543;8497;779
37.4504;121.1860;8504;779
37.4833;121.0797;8497;779
37.5246;120.9493;849;782
37.5686;120.8101;8498;784
37.5925;120.7352;8498;784
37.6330;120.6121;8491;784
37.6668;120.5197;8499;785
37.7206;120.4014;8499;787
37.7521;120.3322;8484;795
37.7824;120.2655;8363;797
37.8208;120.1805;818;779
37.8520;120.1117;8021;764
37.8824;120.0442;7884;761
37.9162;119.9690;7724;753
38.0213;119.7346;7275;740
38.0493;119.6717;7268;700
38.0753;119.6131;7276;702
38.1032;119.5496;7276;700
38.1342;119.4618;7276;695
38.1566;119.3930;7276;698
38.1759;119.3337;7269;700
38.1965;119.2702;7269;698
38.2164;119.2088;727;702
38.2504;119.1034;727;702
38.2783;119.0168;7278;737
38.2992;118.9517;7278;735
38.3334;118.8450;7264;729
38.3545;118.7786;7271;729
38.3755;118.7129;7264;734
38.3961;118.6483;7272;734
38.4165;118.5842;7265;734
38.4377;118.5176;7273;729
38.4581;118.4537;7273;729
38.4897;118.3535;7266;729
38.5290;118.2287;7259;729
38.5502;118.1608;7282;732
38.5712;118.0939;748;737
38.5860;118.0504;761;748
38.6088;118.0070;7732;763
38.6513;117.9497;793;776
38.6916;117.8960;8144;776
38.7328;117.8414;8319;782
38.7739;117.7865;8457;787
38.8149;117.7317;8457;785
38.8557;117.6772;8457;795
38.8950;117.6243;8465;806
38.9367;117.5684;8458;798
38.9803;117.5097;845;790
39.0496;117.4161;8458;789
39.0834;117.3401;8443;769
39.0996;117.2237;8451;763
39.1096;117.1473;8451;761
39.1187;117.0860;8444;766
39.1383;117.0376;8437;787
39.1764;116.9940;8437;813
39.2241;116.9726;8444;843
39.2923;116.9589;8444;847
